"","x"
"1054",3
"1055",3
"1056",6
"1057",13
"1058",13
"1059",14
"1060",24
"1061",3
"1062",0
"1063",9
"1064",2
"1065",6
"1066",0
"1067",0
"1068",0
"1069",2
"1070",7
"1071",12
"1072",0
"1073",13
"1074",35
"1075",2
"1076",12
"1077",3
"1078",7
"1079",0
"1080",21
"1081",0
"1082",4
"1083",22
"1084",0
"1085",0
"1086",4
"1087",0
"1088",4
"1089",0
"1090",0
"1091",4
"1092",11
"1093",5
"1094",5
"1095",4
"1096",49
"1097",4
"1098",0
"1099",4
"1100",18
"1101",0
"1102",15
"1103",5
"1104",18
"1105",3
"1106",6
"1107",5
"1108",4
"1109",0
"1110",1
"1111",0
"1112",2
"1113",0
"1114",3
"1115",6
"1116",0
"1117",3
"1118",3
"1119",0
"1120",7
"1121",0
"1122",4
"1123",0
"1124",11
"1125",0
"1126",8
"1127",6
"1128",1
"1129",0
"1130",30
"1131",6
"1132",14
"1133",0
"1134",5
"1135",3
"1136",0
"1137",2
"1138",3
"1139",5
"1140",10
"1141",6
"1142",0
"1143",2
"1144",0
"1145",3
"1146",3
"1147",28
"1148",0
"1149",0
"1150",6
"1151",6
"1152",0
"1153",1
"1154",21
"1155",31
"1156",3
"1157",3
"1158",10
"1159",0
"1160",7
"1161",1
"1162",14
"1163",55
"1164",16
"1165",7
"1166",4
"1167",0
"1168",11
"1169",5
"1170",4
"1171",6
"1172",8
"1173",23
"1174",0
"1175",7
"1176",5
"1177",6
"1178",4
"1179",3
"1180",3
"1181",0
"1182",0
"1183",0
"1184",1
"1185",0
"1186",0
"1187",0
"1188",0
"1189",1
"1190",3
"1191",5
"1192",0
"1193",0
"1194",21
"1195",0
"1196",16
"1197",19
"1198",0
"1199",6
"1200",5
"1201",7
"1202",5
"1203",3
"1204",18
"1205",0
"1206",0
"1207",0
"1208",5
"1209",1
"1210",14
"1211",13
"1212",23
"1213",0
"1214",3
"1215",0
"1216",11
"1217",8
"1218",0
"1219",5
"1220",5
"1221",3
"1222",10
"1223",5
"1224",6
"1225",6
"1226",5
"1227",2
"1228",2
"1229",3
"1230",2
"1231",3
"1232",9
"1233",5
"1234",2
"1235",12
"1236",12
"1237",11
"1238",6
"1239",5
"1240",1
"1241",2
"1242",0
"1243",0
"1244",2
"1245",0
"1246",54
